strain,size
1n,404
1n,454
1n,540
1n,598
1n,696
1n,280
1n,434
1n,438
1n,487
1n,261
1n,355
1n,481
1n,639
1n,301
1n,556
1n,272
1n,551
1n,584
1n,244
1n,516
1n,334
1n,340
1n,420
1n,461
1n,633
1n,430
1n,454
1n,533
1n,295
1n,578
1n,219
1n,430
1n,391
1n,505
1n,624
1n,660
1n,611
1n,235
1n,321
1n,501
1n,496
1n,649
1n,595
1n,411
1n,469
1n,435
1n,547
1n,306
1n,735
1n,223
1n,489
1n,308
1n,312
1n,534
1n,296
1n,403
1n,328
1n,363
1n,326
1n,324
1n,307
1n,529
1n,428
1n,574
1n,484
1n,462
1n,341
1n,494
1n,296
1n,339
1n,418
1n,532
1n,591
1n,431
1n,543
1n,396
1n,361
1n,437
1n,513
1n,264
1n,373
1n,541
1n,253
1n,367
1n,316
1n,330
1n,269
1n,444
1n,503
1n,481
1n,267
1n,509
1n,261
1n,453
1n,549
1n,346
1n,336
1n,386
1n,295
1n,482
1n,281
1n,317
1n,395
1n,345
1n,698
1n,310
1n,441
1n,537
1n,284
1n,538
1n,270
1n,441
1n,314
1n,256
1n,461
1n,263
1n,439
1n,365
1n,548
1n,330
1n,364
1n,418
1n,770
1n,409
1n,323
1n,446
1n,596
1n,836
1n,348
1n,363
1n,315
1n,306
1n,400
1n,394
1n,551
1n,502
1n,462
1n,561
1n,250
1n,318
1n,255
1n,268
1n,558
1n,338
1n,330
1n,404
1n,518
1n,308
1n,384
1n,320
1n,557
1n,328
1n,389
1n,536
1n,311
1n,210
1n,385
1n,466
1n,247
1n,481
1n,499
1n,469
1n,727
1n,492
1n,466
1n,410
1n,411
1n,424
1n,230
1n,539
1n,552
1n,328
1n,504
1n,346
1n,378
2n,587
2n,679
2n,500
2n,866
2n,405
2n,299
2n,784
2n,522
2n,521
2n,437
2n,791
2n,480
2n,655
2n,421
2n,400
2n,413
2n,448
2n,520
2n,694
2n,760
2n,377
2n,408
2n,657
2n,680
2n,625
2n,545
2n,461
2n,443
2n,801
2n,477
2n,754
2n,257
2n,427
2n,446
2n,443
2n,494
2n,692
2n,476
2n,931
2n,859
2n,601
2n,482
2n,542
2n,561
2n,939
2n,1123
2n,580
2n,523
2n,837
2n,601
2n,479
2n,672
2n,814
2n,953
2n,1557
2n,1283
2n,499
2n,385
2n,412
2n,953
2n,659
2n,801
2n,820
2n,574
2n,981
2n,747
2n,801
2n,788
2n,422
2n,940
2n,618
2n,815
2n,777
2n,812
2n,488
2n,385
2n,692
2n,982
2n,538
2n,486
2n,461
2n,807
2n,453
2n,735
2n,750
2n,655
2n,639
2n,542
2n,276
2n,537
2n,245
2n,874
2n,572
2n,496
2n,662
2n,541
2n,767
2n,772
2n,569
2n,486
2n,406
2n,825
2n,732
2n,485
2n,691
2n,900
2n,498
2n,556
2n,421
2n,658
2n,454
2n,504
2n,451
2n,733
2n,926
2n,808
2n,554
2n,695
2n,433
2n,465
2n,652
2n,885
2n,491
2n,606
2n,531
2n,564
2n,633
2n,917
2n,983
2n,637
2n,795
2n,741
2n,470
2n,885
2n,599
2n,1040
2n,620
2n,528
2n,669
2n,429
2n,601
2n,786
3n,903
3n,1028
3n,912
3n,730
3n,1211
3n,1348
3n,1213
3n,744
3n,1468
3n,1057
3n,1015
3n,1212
3n,986
3n,423
3n,1337
3n,1027
3n,911
3n,1034
3n,1100
3n,1400
3n,830
3n,1158
3n,1327
3n,926
3n,902
3n,1077
3n,926
3n,816
3n,580
3n,1095
3n,1253
3n,955
3n,1057
3n,879
3n,876
3n,1263
3n,634
3n,1067
3n,960
3n,973
3n,997
3n,852
3n,1410
3n,831
3n,523
3n,951
3n,1122
3n,993
3n,529
3n,907
3n,964
3n,1003
3n,973
3n,905
3n,1229
3n,736
3n,764
3n,889
3n,1069
3n,1108
3n,1126
3n,688
3n,1062
3n,980
3n,1041
3n,512
3n,1288
3n,1307
3n,606
3n,750
3n,938
3n,886
3n,1077
3n,567
3n,734
3n,920
3n,743
3n,869
3n,792
3n,833
3n,562
3n,1182
3n,834
3n,1128
3n,721
3n,725
3n,866
3n,1153
3n,569
3n,557
3n,1201
3n,1091
3n,1459
3n,720
3n,898
3n,1450
3n,669
3n,602
3n,956
3n,1332
3n,909
3n,826
3n,1001
3n,1255
3n,1140
3n,1215
3n,44
3n,1218
3n,931
3n,1219
3n,964
3n,1260
3n,1239
3n,1106
3n,717
3n,1949
3n,1243
3n,1351
3n,1469
4n,1209
4n,1104
4n,679
4n,1002
4n,1066
4n,827
4n,1057
4n,742
4n,593
4n,671
4n,632
4n,1302
4n,749
4n,841
4n,817
4n,542
4n,939
4n,1215
4n,970
4n,1167
4n,845
4n,1051
4n,658
4n,1286
4n,827
4n,906
4n,943
4n,579
4n,907
4n,718
4n,970
4n,572
4n,78
4n,1022
4n,1020
4n,705
4n,1044
4n,980
4n,747
4n,1099
4n,1076
4n,713
4n,1269
4n,26
4n,31
4n,1160
4n,545
4n,729
4n,627
4n,704
4n,596
4n,610
4n,901
4n,588
4n,903
4n,925
4n,505
4n,756
4n,1042
4n,931
4n,453
4n,997
4n,943
4n,1394
4n,967
4n,957
4n,954
4n,886
4n,1084
4n,1033
4n,959
4n,657
4n,1068
4n,1048
4n,869
4n,1114
4n,1202
4n,1290
4n,1311
4n,1117
4n,1054
4n,977
4n,1047
4n,1067
4n,1038
4n,946
4n,722
4n,1291
4n,653
4n,1000
4n,1018
4n,829
4n,1094
4n,1464
4n,709
4n,701
4n,756
4n,1043
4n,1202
4n,1006
4n,841
4n,1109
4n,817
4n,917
4n,919
4n,1256
4n,794
4n,868
4n,854
4n,1283
4n,798
4n,1080
4n,729
4n,1065
4n,1102
4n,556
4n,1173
4n,1248
4n,1133
4n,1135
4n,771
4n,1204